election_id,data_source,num_voters,num_candidates,committee_size,hamming_pav_phrag,hamming_pav_mes,hamming_phrag_mes,pav_approval_score,phrag_approval_score,mes_approval_score,runtime_pav,runtime_phrag,runtime_mes,error,pav_winners_str,phrag_winners_str,mes_winners_str
syn_00000,impartial_n50_m10_p0.20_rep0,50,10,2,0,0,0,36,36,36,0.0055,0.0003,0.0006,,"[4, 8]","[4, 8]","[4, 8]"
syn_00001,impartial_n50_m10_p0.20_rep1,50,10,2,0,0,0,24,24,24,0.0041,0.0003,0.0006,,"[3, 5]","[3, 5]","[3, 5]"
syn_00002,impartial_n50_m10_p0.20_rep2,50,10,2,0,0,0,31,31,31,0.004,0.0003,0.0005,,"[0, 1]","[0, 1]","[0, 1]"
syn_00003,impartial_n50_m10_p0.20_rep3,50,10,2,0,0,0,26,26,26,0.0037,0.0003,0.0005,,"[0, 1]","[0, 1]","[0, 1]"
syn_00004,impartial_n50_m10_p0.20_rep4,50,10,2,2,2,0,31,29,29,0.0042,0.0003,0.0006,,"[1, 5]","[5, 7]","[5, 7]"
syn_00005,impartial_n50_m10_p0.40_rep0,50,10,2,0,0,0,49,49,49,0.0046,0.0004,0.0007,,"[2, 6]","[2, 6]","[2, 6]"
syn_00006,impartial_n50_m10_p0.40_rep1,50,10,2,0,0,0,50,50,50,0.0083,0.0004,0.0007,,"[8, 9]","[8, 9]","[8, 9]"
syn_00007,impartial_n50_m10_p0.40_rep2,50,10,2,2,2,0,50,46,46,0.0052,0.0003,0.0007,,"[2, 9]","[2, 4]","[2, 4]"
syn_00008,impartial_n50_m10_p0.40_rep3,50,10,2,0,0,0,46,46,46,0.006,0.0003,0.0006,,"[5, 7]","[5, 7]","[5, 7]"
syn_00009,impartial_n50_m10_p0.40_rep4,50,10,2,0,0,0,52,52,52,0.0052,0.0003,0.0007,,"[7, 9]","[7, 9]","[7, 9]"
syn_00010,impartial_n50_m20_p0.20_rep0,50,20,4,2,2,0,62,60,60,0.0074,0.0007,0.0013,,"[3, 6, 17, 19]","[1, 6, 17, 19]","[1, 6, 17, 19]"
syn_00011,impartial_n50_m20_p0.20_rep1,50,20,4,0,0,0,57,57,57,0.0062,0.0007,0.0012,,"[3, 5, 10, 16]","[3, 5, 10, 16]","[3, 5, 10, 16]"
syn_00012,impartial_n50_m20_p0.20_rep2,50,20,4,6,6,0,53,52,52,0.0105,0.0008,0.0012,,"[3, 7, 10, 18]","[5, 10, 13, 15]","[5, 10, 13, 15]"
syn_00013,impartial_n50_m20_p0.20_rep3,50,20,4,0,0,0,57,57,57,0.0055,0.0008,0.0013,,"[3, 10, 13, 17]","[3, 10, 13, 17]","[3, 10, 13, 17]"
syn_00014,impartial_n50_m20_p0.20_rep4,50,20,4,4,4,0,44,45,45,0.0054,0.0007,0.0012,,"[7, 10, 12, 18]","[7, 13, 16, 18]","[7, 13, 16, 18]"
syn_00015,impartial_n50_m20_p0.40_rep0,50,20,4,2,2,0,98,97,97,0.0143,0.001,0.0018,,"[7, 9, 13, 17]","[9, 11, 13, 17]","[9, 11, 13, 17]"
syn_00016,impartial_n50_m20_p0.40_rep1,50,20,4,4,6,2,91,94,93,0.0187,0.0008,0.0019,,"[3, 7, 9, 12]","[6, 7, 12, 15]","[6, 7, 11, 15]"
syn_00017,impartial_n50_m20_p0.40_rep2,50,20,4,0,0,0,99,99,99,0.0077,0.0009,0.0034,,"[8, 9, 12, 13]","[8, 9, 12, 13]","[8, 9, 12, 13]"
syn_00018,impartial_n50_m20_p0.40_rep3,50,20,4,6,6,2,97,99,102,0.0422,0.0008,0.0019,,"[9, 10, 11, 19]","[0, 10, 13, 14]","[0, 10, 13, 17]"
syn_00019,impartial_n50_m20_p0.40_rep4,50,20,4,2,6,4,93,94,92,0.0123,0.0009,0.0018,,"[1, 11, 17, 19]","[1, 2, 11, 19]","[2, 7, 11, 13]"
syn_00020,impartial_n100_m10_p0.20_rep0,100,10,2,0,0,0,51,51,51,0.0065,0.0005,0.001,,"[3, 6]","[3, 6]","[3, 6]"
syn_00021,impartial_n100_m10_p0.20_rep1,100,10,2,0,0,0,48,48,48,0.006,0.0004,0.0011,,"[2, 8]","[2, 8]","[2, 8]"
syn_00022,impartial_n100_m10_p0.20_rep2,100,10,2,0,0,0,57,57,57,0.0066,0.0004,0.0011,,"[1, 4]","[1, 4]","[1, 4]"
syn_00023,impartial_n100_m10_p0.20_rep3,100,10,2,0,0,0,49,49,49,0.0063,0.0005,0.0011,,"[0, 2]","[0, 2]","[0, 2]"
syn_00024,impartial_n100_m10_p0.20_rep4,100,10,2,0,0,0,56,56,56,0.0066,0.0005,0.0011,,"[0, 9]","[0, 9]","[0, 9]"
syn_00025,impartial_n100_m10_p0.40_rep0,100,10,2,0,0,0,96,96,96,0.0114,0.0005,0.0016,,"[5, 7]","[5, 7]","[5, 7]"
syn_00026,impartial_n100_m10_p0.40_rep1,100,10,2,0,0,0,96,96,96,0.009,0.0006,0.0018,,"[1, 5]","[1, 5]","[1, 5]"
syn_00027,impartial_n100_m10_p0.40_rep2,100,10,2,0,0,0,98,98,98,0.0081,0.0006,0.0017,,"[0, 7]","[0, 7]","[0, 7]"
syn_00028,impartial_n100_m10_p0.40_rep3,100,10,2,4,4,0,91,88,88,0.0148,0.0006,0.0016,,"[3, 6]","[0, 1]","[0, 1]"
syn_00029,impartial_n100_m10_p0.40_rep4,100,10,2,0,0,0,90,90,90,0.0169,0.0006,0.0014,,"[1, 4]","[1, 4]","[1, 4]"
syn_00030,impartial_n100_m20_p0.20_rep0,100,20,4,0,0,0,104,104,104,0.014,0.0013,0.0023,,"[1, 3, 5, 14]","[1, 3, 5, 14]","[1, 3, 5, 14]"
syn_00031,impartial_n100_m20_p0.20_rep1,100,20,4,0,0,0,93,93,93,0.0113,0.0013,0.0025,,"[5, 8, 15, 18]","[5, 8, 15, 18]","[5, 8, 15, 18]"
syn_00032,impartial_n100_m20_p0.20_rep2,100,20,4,4,4,0,84,83,83,0.4069,0.0013,0.002,,"[4, 7, 11, 14]","[0, 7, 11, 15]","[0, 7, 11, 15]"
syn_00033,impartial_n100_m20_p0.20_rep3,100,20,4,2,2,0,102,101,101,0.0116,0.0013,0.0022,,"[5, 11, 12, 19]","[5, 8, 11, 12]","[5, 8, 11, 12]"
syn_00034,impartial_n100_m20_p0.20_rep4,100,20,4,0,0,0,102,102,102,0.0106,0.0014,0.0024,,"[1, 4, 9, 13]","[1, 4, 9, 13]","[1, 4, 9, 13]"
syn_00035,impartial_n100_m20_p0.40_rep0,100,20,4,0,0,0,183,183,183,0.1701,0.0015,0.0033,,"[1, 2, 14, 18]","[1, 2, 14, 18]","[1, 2, 14, 18]"
syn_00036,impartial_n100_m20_p0.40_rep1,100,20,4,0,0,0,187,187,187,0.0165,0.0015,0.0032,,"[0, 8, 14, 18]","[0, 8, 14, 18]","[0, 8, 14, 18]"
syn_00037,impartial_n100_m20_p0.40_rep2,100,20,4,0,0,0,195,195,195,0.0139,0.0016,0.0032,,"[1, 5, 10, 18]","[1, 5, 10, 18]","[1, 5, 10, 18]"
syn_00038,impartial_n100_m20_p0.40_rep3,100,20,4,0,2,2,188,188,181,0.3084,0.0016,0.0032,,"[3, 12, 15, 16]","[3, 12, 15, 16]","[3, 11, 12, 16]"
syn_00039,impartial_n100_m20_p0.40_rep4,100,20,4,0,2,2,196,196,195,0.0245,0.0015,0.0035,,"[5, 8, 14, 15]","[5, 8, 14, 15]","[8, 11, 14, 15]"
syn_00040,urn_n50_m10_p0.20_a0.50_rep0,50,10,2,0,0,0,44,44,44,0.0036,0.0003,0.0006,,"[5, 8]","[5, 8]","[5, 8]"
syn_00041,urn_n50_m10_p0.20_a0.50_rep1,50,10,2,0,0,0,38,38,38,0.003,0.0003,0.0005,,"[2, 9]","[2, 9]","[2, 9]"
syn_00042,urn_n50_m10_p0.20_a0.50_rep2,50,10,2,0,0,0,6,6,6,0.0023,0.0002,0.0004,,"[3, 6]","[3, 6]","[3, 6]"
syn_00043,urn_n50_m10_p0.20_a0.50_rep3,50,10,2,2,2,0,50,58,58,0.0032,0.0003,0.0006,,"[5, 9]","[0, 5]","[0, 5]"
syn_00044,urn_n50_m10_p0.20_a0.50_rep4,50,10,2,0,0,0,26,26,26,0.0033,0.0002,0.0005,,"[0, 5]","[0, 5]","[0, 5]"
syn_00045,urn_n50_m10_p0.40_a0.50_rep0,50,10,2,0,0,0,82,82,82,0.0036,0.0003,0.0007,,"[1, 8]","[1, 8]","[1, 8]"
syn_00046,urn_n50_m10_p0.40_a0.50_rep1,50,10,2,0,0,0,94,94,94,0.0036,0.0003,0.0008,,"[6, 8]","[6, 8]","[6, 8]"
syn_00047,urn_n50_m10_p0.40_a0.50_rep2,50,10,2,0,0,0,66,66,66,0.0036,0.0004,0.0008,,"[7, 8]","[7, 8]","[7, 8]"
syn_00048,urn_n50_m10_p0.40_a0.50_rep3,50,10,2,0,0,0,86,86,86,0.0036,0.0003,0.0007,,"[8, 9]","[8, 9]","[8, 9]"
syn_00049,urn_n50_m10_p0.40_a0.50_rep4,50,10,2,0,0,0,98,98,98,0.0037,0.0004,0.0007,,"[5, 9]","[5, 9]","[5, 9]"
syn_00050,urn_n50_m20_p0.20_a0.50_rep0,50,20,4,0,0,0,174,174,174,0.0047,0.0008,0.0014,,"[0, 3, 8, 9]","[0, 3, 8, 9]","[0, 3, 8, 9]"
syn_00051,urn_n50_m20_p0.20_a0.50_rep1,50,20,4,2,2,0,122,123,123,0.0052,0.0008,0.0013,,"[4, 11, 16, 19]","[4, 8, 16, 19]","[4, 8, 16, 19]"
syn_00052,urn_n50_m20_p0.20_a0.50_rep2,50,20,4,0,0,0,97,97,97,0.0045,0.0007,0.0014,,"[2, 7, 12, 19]","[2, 7, 12, 19]","[2, 7, 12, 19]"
syn_00053,urn_n50_m20_p0.20_a0.50_rep3,50,20,4,0,0,0,54,54,54,0.0039,0.0007,0.0011,,"[3, 4, 5, 17]","[3, 4, 5, 17]","[3, 4, 5, 17]"
syn_00054,urn_n50_m20_p0.20_a0.50_rep4,50,20,4,0,0,0,107,107,107,0.0049,0.0009,0.0013,,"[5, 9, 12, 16]","[5, 9, 12, 16]","[5, 9, 12, 16]"
syn_00055,urn_n50_m20_p0.40_a0.50_rep0,50,20,4,0,0,0,186,186,186,0.0051,0.0009,0.0015,,"[0, 2, 6, 7]","[0, 2, 6, 7]","[0, 2, 6, 7]"
syn_00056,urn_n50_m20_p0.40_a0.50_rep1,50,20,4,2,0,2,184,184,184,0.0051,0.0009,0.0017,,"[3, 5, 11, 12]","[3, 5, 6, 11]","[3, 5, 11, 12]"
syn_00057,urn_n50_m20_p0.40_a0.50_rep2,50,20,4,2,2,0,196,196,196,0.0053,0.0008,0.0015,,"[14, 16, 18, 19]","[10, 14, 16, 19]","[10, 14, 16, 19]"
syn_00058,urn_n50_m20_p0.40_a0.50_rep3,50,20,4,4,2,4,156,135,135,0.005,0.0008,0.0014,,"[8, 11, 13, 16]","[0, 8, 10, 11]","[1, 8, 11, 16]"
syn_00059,urn_n50_m20_p0.40_a0.50_rep4,50,20,4,0,0,0,134,134,134,0.0054,0.0008,0.0016,,"[1, 8, 15, 19]","[1, 8, 15, 19]","[1, 8, 15, 19]"
syn_00060,urn_n100_m10_p0.20_a0.50_rep0,100,10,2,0,0,0,126,126,126,0.0048,0.0005,0.0012,,"[5, 9]","[5, 9]","[5, 9]"
syn_00061,urn_n100_m10_p0.20_a0.50_rep1,100,10,2,0,0,0,105,105,105,0.0053,0.0006,0.0012,,"[4, 5]","[4, 5]","[4, 5]"
syn_00062,urn_n100_m10_p0.20_a0.50_rep2,100,10,2,0,0,0,161,161,161,0.0052,0.0005,0.0011,,"[2, 9]","[2, 9]","[2, 9]"
syn_00063,urn_n100_m10_p0.20_a0.50_rep3,100,10,2,0,0,0,63,63,63,0.0042,0.0005,0.0009,,"[1, 9]","[1, 9]","[1, 9]"
syn_00064,urn_n100_m10_p0.20_a0.50_rep4,100,10,2,0,0,0,148,148,148,0.0052,0.0006,0.0014,,"[0, 1]","[0, 1]","[0, 1]"
syn_00065,urn_n100_m10_p0.40_a0.50_rep0,100,10,2,0,0,0,127,127,127,0.0054,0.0006,0.0014,,"[4, 7]","[4, 7]","[4, 7]"
syn_00066,urn_n100_m10_p0.40_a0.50_rep1,100,10,2,0,0,0,155,155,155,0.0057,0.0006,0.0014,,"[5, 8]","[5, 8]","[5, 8]"
syn_00067,urn_n100_m10_p0.40_a0.50_rep2,100,10,2,0,0,0,166,166,166,0.0056,0.0006,0.0013,,"[2, 5]","[2, 5]","[2, 5]"
syn_00068,urn_n100_m10_p0.40_a0.50_rep3,100,10,2,2,2,0,147,147,147,0.0053,0.0006,0.0013,,"[5, 7]","[3, 7]","[3, 7]"
syn_00069,urn_n100_m10_p0.40_a0.50_rep4,100,10,2,0,0,0,153,153,153,0.0057,0.0006,0.0014,,"[7, 9]","[7, 9]","[7, 9]"
