comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes
0,"I hope we invest in greenspaces throughout the city, so we're never far from nature, even as we grow",1177,943,33,201,293,160,22,111,884,783,11,90
1,"I hope in 2050, I'll still see folks studying their Bibles in the early mornings.",3692,1547,977,1168,628,361,79,188,3064,1186,898,980
2,"Let's make our community known as the tech hub of the Southeast",939,332,194,413,253,62,54,137,686,270,140,276
3,"I hope that the IMPACT Center will have changed STEM education in our region",510,205,31,274,143,32,12,99,367,173,19,175
4,"BG should continue to foster a spirit of collaboration. It’s our differentiator.",887,488,63,336,242,56,49,137,645,432,14,199
5,"I hope BG still feels like a safe place to raise a family in 2050.",1285,1026,25,234,331,235,12,84,954,791,13,150
8,"I hope that BG will have its own famous identity apart from Nashville.",1525,898,122,505,383,152,52,179,1142,746,70,326
9,"BG will have a comprehensive public transit system in 2050.",1531,1062,119,350,382,121,93,168,1149,941,26,182
10,"I hope White Squirrel’s beer will be world-famous and majorly distributed.",437,146,68,223,129,30,29,70,308,116,39,153
11,"Maybe BG and Warren County will be unified into one Metro Agency like Louisville.",496,183,95,218,151,31,48,72,345,152,47,146
12,"I want BG to feel welcoming to all who come here, including those who may not feel welcome now.",2219,1342,223,654,483,70,155,258,1736,1272,68,396
13,"I imagine that BG has a chance to be known for artists, like a haven outside of Nashville for creatives and academics.",1587,910,173,504,402,98,109,195,1185,812,64,309
15,"I want to see more public art, and an art museum, like Crystal Bridges.",1212,602,141,469,312,39,91,182,900,563,50,287
16,"I’d love to see a place that’s more focused on allergen-friendly and organic food and produce.",498,210,57,231,142,23,26,93,356,187,31,138
18,"I want BG to be filled with more single/multi family housing, and not just condos as we plan for adding housing options.",469,243,35,191,129,40,13,76,340,203,22,115
19,"We will have attracted innovative talent through an expanded computer science program at WKU",582,247,61,274,171,44,30,97,411,203,31,177
20,"I’d like to see more farm-to-table restaurants here, especially given our agricultural strength",1192,936,40,216,309,181,25,103,883,755,15,113
21,"BG will continue welcoming people from diverse perspectives who want to contribute to our community.",3000,1869,419,712,592,97,269,226,2408,1772,150,486
22,"I hope that Mammoth Cave and Lost River Cave will be more heavily advertised and known around the world.",1427,916,85,426,355,153,42,160,1072,763,43,266
23,"I dream that the city will have free rides to all healthcare facilities for all those in need.",1454,821,178,455,368,78,110,180,1086,743,68,275
24,"We will not be overly reliant on manufacturing jobs in BG.",799,396,109,294,234,68,48,118,565,328,61,176
25,"I would like to see more opportunities for homeless/mental health needs in Bowling Green.",1675,1130,162,383,411,110,118,183,1264,1020,44,200
26,"I dream that we will have several Korean restaurants so we don't have to drive far for mandoo and bibimbap.",749,262,128,359,206,16,64,126,543,246,64,233
27,"I would like to see more single family homes than condos.",932,500,80,352,264,126,21,117,668,374,59,235
28,"I would love to see a dedicated Arts & Entertainment District created in downtown Bowling Green.",1503,898,160,445,370,91,101,178,1133,807,59,267
29,"I hope we value green spaces, parks and farms in appropriate locations as much as industry in 2050.",1004,794,26,184,265,152,16,97,739,642,10,87
30,"I would like to see more development on the river that would include canoeing and kayaking.",1646,1175,108,363,392,203,44,145,1254,972,64,218
31,"I would like to see Economic Development invest in more diversified businesses than just industrial recruitment.",910,555,44,311,234,72,35,127,676,483,9,184
32,"Quality development with amenities like the Lovers Lane district should be more the norm than a special district.",1615,919,118,578,400,178,39,183,1215,741,79,395
33,"The unique character of our neighborhoods should be preserved as much as possible.",875,570,27,278,236,110,11,115,639,460,16,163
34,"A commuter service to Nashville airport / Broadway would be nice to have by 2050.",1263,841,97,325,325,144,55,126,938,697,42,199
35,"I would like to see more beautification along corridors to BG.",1495,951,115,429,380,171,50,159,1115,780,65,270
36,"BG should be an attractive community for global talent where a variety of people want to live.",1253,779,100,374,325,87,67,171,928,692,33,203
