voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-1
3,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
9,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1
10,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
11,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
17,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1
25,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
27,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
28,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
29,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
30,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
31,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1
32,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1
37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0
