voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,-1,0
2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3,0,0,0,1,0,0,0,1,0,1,-1,0,1,0,1,0,0,0,0,0
4,0,1,0,0,0,0,0,1,0,0,0,-1,0,1,1,1,0,1,0,0
5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,1
6,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0
7,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
8,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,1,1,0,0,0,0
9,1,1,0,0,0,1,0,1,0,0,-1,0,0,0,0,1,0,0,1,0
10,0,1,0,0,0,0,0,1,-1,0,1,1,0,0,0,0,0,1,0,0
11,1,1,0,0,0,0,1,1,0,-1,1,0,0,0,0,0,1,0,0,0
12,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
13,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
14,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,0,0,0,1,0,0,0,0,0,1,-1,0,0,1,0,0,0,1,0,0
16,0,1,0,0,1,0,1,-1,1,0,0,1,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
18,0,0,1,1,0,1,0,-1,0,0,1,1,0,0,0,0,0,1,0,0
19,1,1,1,1,0,-1,0,0,1,0,0,0,-1,0,0,0,1,0,1,0
20,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
22,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0
23,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0
24,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,0,-1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
28,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,1,1,-1
29,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,-1,1,0,0
30,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,-1,1
31,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
33,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
34,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
35,1,0,1,1,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0
36,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,-1,0,0,0
37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
38,0,0,1,-1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
40,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,-1,0,0
41,1,1,0,0,-1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0
43,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,-1,0
44,1,1,1,1,-1,0,0,0,0,0,0,1,0,-1,1,0,0,1,1,0
45,-1,0,0,-1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
46,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
47,0,0,0,1,0,-1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
48,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
49,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
50,0,0,0,1,0,1,0,0,1,0,1,1,-1,0,0,-1,0,0,1,0
51,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,-1,0,1,1
52,1,1,1,0,-1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
53,1,1,0,0,1,0,0,0,-1,0,0,0,-1,0,1,1,0,-1,1,1
54,1,0,1,-1,0,1,1,0,0,0,0,1,1,0,-1,0,1,0,0,0
55,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
56,1,1,1,0,-1,0,-1,0,0,0,0,1,1,0,0,0,0,1,1,0
57,1,0,1,0,1,0,0,1,1,-1,-1,0,0,0,0,1,1,1,0,0
58,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,-1,0,0,1
59,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0
60,0,-1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
62,1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
63,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
64,0,0,0,1,0,0,-1,0,0,0,0,1,0,1,0,0,1,0,0,0
65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
66,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
67,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
68,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,-1,0,0
69,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
70,0,0,1,0,1,0,1,0,0,0,-1,0,0,1,0,0,0,0,1,1
71,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1
72,1,0,1,0,1,-1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
73,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
74,0,0,0,1,1,-1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
75,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
76,-1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
77,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
78,0,0,1,1,0,0,1,-1,1,0,1,1,0,0,1,0,1,0,1,0
79,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0
80,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
81,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
82,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,-1
83,0,0,-1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
84,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
85,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
86,1,0,0,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
87,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
88,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
89,0,1,0,0,0,1,0,0,1,1,0,0,-1,0,1,0,1,0,0,0
90,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
91,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
92,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
93,0,0,0,1,0,0,0,0,0,0,1,0,-1,-1,1,0,0,-1,1,1
94,0,1,0,0,0,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
95,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
96,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
97,-1,0,1,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,-1,0,0,0,-1
99,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1,0,0,1,0,1
