voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,-1,0,0,0,1,0,1,1,0,0,0,0,0,-1,1,1,0,1,0
2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
3,0,0,0,0,0,0,0,-1,1,0,1,0,0,1,1,1,1,0,0,0
4,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,-1,0,1,1,0
5,0,0,1,0,-1,0,0,1,1,0,0,1,0,0,1,0,0,0,-1,-1
6,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,-1,0,1
7,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,1,0,1,0,0,0
8,1,0,1,1,0,0,0,0,0,0,1,0,1,-1,1,1,0,-1,0,0
9,0,0,0,0,0,0,0,1,0,1,-1,1,1,0,1,1,0,0,1,-1
10,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,-1,1,1,0,0
11,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,-1,0,0,1,1
12,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,1,1,0
13,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,-1,0,0,0
14,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
15,0,1,-1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,1,0,1,0,1,0
17,1,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,0,0,0,0,0
18,0,1,1,1,0,0,0,0,0,0,0,1,0,-1,1,1,0,0,0,0
19,0,0,0,0,0,0,-1,-1,1,0,-1,1,0,0,1,0,0,1,0,0
20,0,-1,0,1,0,0,1,0,1,0,-1,0,1,0,1,1,1,0,1,0
21,-1,1,1,1,0,-1,1,0,1,0,0,0,0,0,1,1,1,0,0,0
22,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
23,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
24,0,1,0,0,1,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0
25,0,0,-1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0
26,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
27,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
28,1,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0
29,0,0,1,0,0,0,1,0,1,1,0,-1,0,-1,1,1,0,0,0,0
30,0,0,-1,-1,-1,0,0,1,0,0,-1,0,0,0,1,0,0,-1,1,1
31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-1,0,-1
32,0,0,1,1,0,-1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
33,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
34,1,1,1,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,1
35,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
36,0,0,1,-1,1,1,1,1,0,-1,0,1,1,0,1,0,1,0,0,-1
37,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
38,0,1,1,1,0,1,1,1,1,-1,1,0,0,0,1,0,0,1,0,0
39,1,0,0,0,0,0,-1,0,0,0,1,0,0,1,1,0,1,1,-1,0
40,0,0,0,0,1,1,-1,1,0,0,1,1,0,0,1,0,0,-1,0,1
41,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,1,0,0,0,1,0,0,-1,1,0,1,1,0,0,1,0,-1,0,0,0
43,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
44,0,0,0,0,1,0,-1,1,1,0,0,0,1,1,0,0,1,1,1,0
45,0,1,1,-1,0,0,0,1,1,1,0,-1,0,-1,0,0,1,1,0,0
46,1,0,0,0,1,1,1,-1,0,0,1,0,-1,0,0,1,-1,1,0,1
47,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-1,0
48,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
49,0,0,0,-1,1,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,1
50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1
52,1,0,-1,0,1,0,1,0,-1,1,0,1,1,1,1,0,-1,1,0,0
53,0,0,1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,-1,0,0,0,-1,0,1,0,1,1,-1,0,1,-1,0,1
55,1,0,0,0,1,0,1,0,-1,1,1,0,0,0,0,1,1,0,1,0
56,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,1,-1
57,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,-1
58,1,-1,0,1,1,0,0,0,0,1,0,0,1,0,-1,0,0,0,1,1
59,0,1,1,1,1,-1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
60,0,0,0,0,1,1,-1,0,1,0,0,-1,0,0,1,0,0,0,0,1
61,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1
62,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,-1,0,0,-1,0
63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
64,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,1,0,0
65,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,-1,0,1,0,0
66,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
67,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
68,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
69,0,1,0,0,0,1,0,0,-1,1,0,0,1,1,0,1,0,0,0,0
70,0,1,0,0,1,1,0,1,0,0,0,0,-1,0,1,0,0,0,0,0
71,0,0,0,-1,0,0,1,1,-1,0,0,0,1,1,1,0,1,0,0,0
72,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,-1,0
73,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
74,0,1,0,1,0,1,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1
76,1,0,0,0,0,1,-1,0,1,1,0,1,0,0,1,0,0,0,0,0
77,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
78,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,1,1,0,0,0,0
79,0,0,0,1,0,0,0,0,1,1,1,1,-1,0,0,0,1,1,0,1
80,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1
81,1,-1,0,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,1,0
82,0,1,0,1,1,0,1,0,0,-1,1,1,1,1,0,0,1,-1,-1,1
83,1,-1,0,1,0,-1,0,1,1,0,0,0,0,1,0,0,0,-1,0,0
84,0,0,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,1,0,0,0
85,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1
86,1,1,-1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
87,1,1,1,0,-1,-1,0,0,0,0,0,1,0,0,0,-1,1,0,0,0
88,0,1,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,-1,0,0
89,1,0,1,1,1,0,0,0,-1,1,0,0,1,0,0,1,0,1,0,0
90,0,0,1,-1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
91,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
92,1,0,1,0,1,0,0,0,0,0,1,0,-1,0,0,0,1,1,1,1
93,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,-1,-1,1,0,0,-1
94,0,0,0,0,-1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1
95,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
96,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,-1,0,1,1
97,1,0,0,1,0,0,1,0,1,0,-1,1,0,0,0,0,0,1,0,-1
98,0,0,0,1,0,1,-1,0,0,0,0,0,-1,0,1,1,0,0,-1,1
99,0,0,0,1,-1,0,1,0,0,1,1,-1,0,1,0,0,1,0,0,0
