voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,1,0,1,1,0,0,-1,0,1,0,0,-1,0,0,0,0,0,1
1,1,1,1,0,1,0,0,-1,0,0,0,1,0,1,0,0,0,-1,0,1
2,1,-1,1,1,1,1,1,1,-1,1,1,0,0,0,0,0,1,0,1,-1
3,-1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-1,-1,-1
4,0,0,1,0,0,1,0,0,-1,-1,0,0,1,0,1,0,0,0,0,0
5,1,1,-1,1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1
6,1,0,1,1,1,1,-1,-1,-1,0,0,1,1,-1,0,-1,0,0,0,0
7,1,1,0,0,1,-1,-1,0,1,0,0,0,0,0,1,0,0,0,-1,0
8,1,0,0,1,1,0,0,1,-1,0,1,0,1,1,1,1,0,0,0,0
9,1,1,1,1,1,1,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,0
10,1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1
11,0,-1,1,1,1,1,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0
12,0,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
13,0,-1,1,1,0,1,0,0,0,-1,0,1,-1,-1,0,1,0,-1,0,0
14,1,1,1,1,1,0,0,-1,-1,0,1,-1,0,-1,0,0,0,1,-1,0
15,1,1,0,0,1,1,-1,-1,0,1,0,0,0,0,0,1,0,0,-1,0
16,1,1,0,1,-1,-1,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
17,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
18,0,1,1,1,0,1,1,0,-1,-1,0,-1,0,0,-1,0,-1,0,-1,-1
19,1,-1,1,-1,1,1,-1,1,-1,0,0,1,0,0,0,0,0,-1,-1,0
20,1,1,0,0,1,1,0,-1,0,1,0,-1,0,-1,0,-1,0,0,0,1
21,1,1,1,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,1,0,1
22,0,1,1,-1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
23,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,1,1,1,1,-1,1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,-1
25,1,0,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0
26,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,-1,-1,0,0,0
27,1,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0
28,-1,1,1,1,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1
29,0,1,1,0,1,1,0,1,-1,0,1,-1,0,1,-1,1,0,-1,0,1
30,1,1,1,1,1,1,0,1,-1,-1,-1,0,1,0,0,0,-1,0,0,0
31,0,1,1,0,1,1,-1,0,-1,1,0,0,0,0,-1,0,1,-1,0,0
32,1,1,1,0,0,1,-1,0,-1,1,0,1,0,-1,-1,-1,0,0,0,1
33,1,0,0,-1,0,1,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,0
34,1,1,0,0,1,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0
35,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,0,-1,-1,0,-1,1,0,0,-1,1,0,0,-1,0
37,0,1,1,1,1,1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0
38,-1,1,1,1,0,1,0,-1,1,-1,0,0,0,0,0,-1,0,0,-1,1
39,1,1,1,1,0,0,0,-1,-1,0,1,-1,0,0,0,0,0,1,-1,1
40,0,1,1,1,1,0,0,1,0,0,0,-1,0,1,0,0,1,0,1,0
41,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0
42,1,0,1,1,1,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
43,1,1,1,0,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1
44,1,-1,1,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0
45,1,-1,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,0
46,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1
47,0,0,1,1,-1,0,0,0,1,1,0,0,0,0,-1,0,-1,0,1,-1
48,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
49,1,1,1,0,1,1,0,0,0,0,0,0,-1,1,0,1,0,0,0,1
50,1,1,0,1,1,1,0,1,0,0,0,0,0,0,-1,0,-1,0,1,0
51,1,0,0,-1,1,0,-1,-1,0,-1,0,0,1,0,-1,-1,0,-1,1,0
52,1,1,1,1,0,0,0,0,1,1,-1,-1,0,1,-1,0,0,0,1,0
53,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,-1,0,0,-1
54,1,-1,1,-1,1,1,0,-1,-1,1,1,-1,1,-1,1,0,0,0,0,0
55,1,1,-1,1,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
56,1,0,1,1,1,1,0,0,0,-1,-1,0,-1,-1,0,0,0,1,0,0
57,1,0,-1,1,-1,0,-1,0,0,-1,1,-1,0,0,-1,0,0,0,0,0
58,-1,0,1,1,1,1,1,0,1,0,0,-1,0,0,0,0,0,0,1,0
59,1,0,0,1,0,1,0,0,0,0,-1,0,0,0,-1,0,0,1,0,-1
60,0,1,1,-1,1,1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0
61,0,-1,0,0,1,1,0,-1,1,1,0,0,-1,0,0,0,0,0,0,0
62,1,1,1,1,0,1,0,0,0,0,-1,1,0,1,0,-1,-1,0,1,0
63,0,0,-1,0,1,1,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0
64,1,1,1,-1,1,1,0,1,0,0,0,0,0,0,0,-1,-1,0,0,-1
65,1,0,0,0,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,1,0
66,1,-1,0,1,1,1,-1,0,0,1,-1,1,0,0,1,0,0,1,0,0
67,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0
68,1,-1,0,0,1,1,0,-1,-1,1,0,0,0,0,0,0,-1,0,0,0
69,1,1,0,1,1,-1,0,0,-1,0,0,0,1,0,0,0,0,1,1,1
70,1,0,0,1,-1,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0
71,1,1,1,1,1,1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0
72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,1
73,1,1,0,0,0,-1,1,0,-1,0,0,0,0,-1,1,1,1,0,-1,0
74,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
75,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
76,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
77,1,0,0,0,1,1,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,1
78,1,1,1,0,1,1,1,0,0,-1,-1,0,1,0,0,1,0,-1,0,-1
79,1,1,0,0,1,1,0,0,1,0,0,1,0,0,-1,0,0,0,0,0
80,1,-1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1
81,1,1,1,1,-1,0,-1,-1,-1,0,0,-1,0,1,1,0,-1,1,-1,0
82,1,0,1,1,1,1,0,0,-1,1,0,0,0,1,0,0,0,0,0,1
83,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,1,0,0
84,0,0,-1,0,0,0,0,0,1,1,0,0,0,-1,-1,1,0,0,0,0
85,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,-1,-1,0
86,0,1,1,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,1,1,-1,0
87,1,0,-1,-1,1,1,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,-1
88,0,1,1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
89,0,0,1,1,1,0,-1,0,1,-1,-1,1,0,0,0,0,0,0,0,0
90,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,-1,-1
91,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0
92,1,1,1,0,0,1,0,-1,-1,0,0,-1,1,0,1,0,1,0,0,1
93,1,-1,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,-1,1,0
94,1,1,0,0,-1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1
95,-1,0,1,1,1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0
96,1,1,0,-1,1,1,-1,0,-1,0,0,0,0,-1,0,0,1,0,0,1
97,0,1,1,1,-1,0,0,1,1,0,-1,0,0,0,1,-1,0,0,-1,-1
98,1,1,1,1,1,1,1,0,1,-1,0,0,0,0,0,-1,0,0,-1,0
99,0,1,1,1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,1,0,0
