voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
2,-1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
3,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0
4,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1,-1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
6,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0
8,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
10,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,1,0,0,0,0
11,1,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
12,0,0,1,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
13,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
14,0,0,1,0,-1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
15,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,-1,1,0
16,0,1,1,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,0,0,1
17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,-1,1,0
19,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,-1,1,0,0,0
20,0,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
22,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
23,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
25,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
26,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-1,1,1
28,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,1,-1,0,0
30,0,1,0,1,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1
31,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,1,0
32,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
33,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
34,1,1,1,1,0,0,0,0,0,-1,1,1,0,0,1,0,1,0,0,0
35,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
36,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,-1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
40,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,-1,0,0,0,1
42,0,1,-1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
43,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1
44,-1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,0
45,-1,1,1,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,1,1
46,1,0,1,-1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
47,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
48,1,0,1,0,1,1,1,0,0,0,0,0,0,-1,0,0,1,1,0,0
49,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,1,1,1,1,1,1,0,0,0,-1,0,0,-1,1,0,0,0,0,1,0
52,0,0,0,1,0,1,0,1,0,0,0,0,-1,0,0,-1,0,0,0,1
53,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0
54,0,1,0,1,1,1,-1,0,0,-1,0,-1,1,0,1,0,1,1,1,1
55,1,1,0,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,0,0,0
56,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0
57,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,-1,0,0,0
58,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,-1
59,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,0
60,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
61,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
62,0,1,-1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
63,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
64,0,0,1,1,1,0,0,-1,0,1,0,1,0,0,0,0,1,1,1,0
65,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
67,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
68,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0
69,0,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0
70,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
71,0,1,1,1,0,-1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
72,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,-1,0,0
73,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
74,0,1,0,0,1,1,0,0,0,0,1,0,1,-1,0,0,1,0,0,0
75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
78,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
81,1,0,1,1,1,1,0,0,0,0,0,0,0,-1,1,0,0,-1,1,1
82,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
83,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
85,1,1,0,0,0,1,-1,-1,0,0,0,1,1,0,0,0,0,0,1,0
86,1,0,0,1,1,0,0,1,0,-1,1,1,0,1,0,0,0,1,0,0
87,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
88,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
89,1,1,1,1,1,1,0,1,0,0,0,-1,0,0,1,0,0,0,1,0
90,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
91,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0
92,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
93,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
94,-1,1,-1,0,0,1,-1,1,1,1,0,0,0,0,-1,0,0,0,0,1
95,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
96,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
97,1,0,0,1,1,0,0,1,-1,0,0,0,1,0,0,0,0,-1,1,1
98,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0
99,0,1,0,0,1,1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,-1
