voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,1,0,0,1,0,-1,0,1,1,1,0,0,-1,1,1,0,1,0,0
1,0,1,0,0,0,1,1,1,1,0,-1,0,1,1,1,1,1,1,1,0
2,1,0,0,1,0,0,1,1,0,1,1,1,0,0,-1,0,1,0,1,1
3,0,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,0,0,0
4,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0
5,0,0,1,-1,0,-1,1,1,1,0,1,1,1,0,1,0,0,0,1,0
6,-1,-1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
7,1,1,0,0,1,1,1,-1,1,1,0,0,1,0,1,0,1,0,-1,0
8,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,-1,-1
9,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1
10,0,-1,-1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1
11,1,1,0,-1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1
12,0,0,1,0,0,0,-1,1,1,1,0,-1,1,1,1,0,0,1,1,-1
13,1,-1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0
14,1,1,1,1,-1,1,1,1,0,1,0,1,0,1,-1,0,0,0,0,0
15,0,1,0,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,0
16,-1,1,1,0,-1,0,0,0,0,1,0,1,-1,0,1,0,1,-1,1,0
17,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,-1,0,0,1,0
18,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0
19,-1,0,0,1,1,0,0,-1,1,0,0,1,0,0,1,1,0,1,1,1
20,1,0,0,1,0,0,1,0,1,-1,-1,0,1,-1,1,1,1,0,1,-1
21,0,1,1,1,0,0,1,0,1,0,0,0,-1,-1,1,1,1,0,0,0
22,0,1,0,1,1,0,0,0,1,-1,1,0,0,1,1,1,-1,1,-1,0
23,0,1,0,1,0,0,0,0,1,-1,1,1,1,1,1,1,1,-1,0,1
24,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
25,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,1,1,1,0,1,-1
26,0,1,1,0,1,1,-1,0,0,1,0,0,1,-1,1,1,-1,1,1,-1
27,0,-1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
28,1,1,0,0,-1,0,0,1,1,0,1,0,1,0,-1,0,0,-1,0,1
29,1,-1,1,1,0,-1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
30,1,0,-1,0,0,0,0,1,0,1,0,0,-1,0,1,0,0,1,1,1
31,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
32,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,-1,1,0,1
33,1,-1,1,1,1,0,-1,0,1,1,1,-1,0,0,0,1,0,1,1,1
34,1,1,1,1,0,1,1,0,0,0,1,-1,1,1,0,0,0,0,0,1
