voter_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,-1
1,0,0,0,0,0,1,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,-1
2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,0,0,0
3,0,0,0,-1,-1,0,0,1,0,1,0,0,0,0,1,0,-1,0,0,0
4,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,-1,-1,-1,0,0,-1
5,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1
6,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,-1,0,0,-1
7,-1,0,-1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0
8,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,1,-1,0,0,-1,0
9,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
10,0,0,0,-1,0,0,0,0,-1,0,1,1,-1,-1,0,0,-1,0,0,0
11,0,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0
12,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,-1
14,0,0,-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0
15,0,-1,-1,0,0,0,0,-1,0,1,0,-1,0,1,-1,0,-1,0,0,0
16,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
18,0,-1,1,1,0,1,-1,0,-1,0,0,1,0,0,0,0,0,0,-1,0
19,-1,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,0,0,0
20,0,0,0,0,0,1,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0
21,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0
