dataset,method,rule,committee_size,elected_mean_net_score,elected_min_net_score,elected_max_net_score,non_elected_mean_net_score,best_non_elected_score,best_non_elected_candidate,mean_utility,median_utility,n_zero_or_negative,frac_zero_or_negative,n_negative,frac_negative,gini_coefficient,avg_disapprovals_per_voter,avg_elected_disapprovals_per_voter,hamming_distance
15-per-hour-seattle,Traditional,PAV,10.0,34.5,8.0,55.0,2.0682,31.0,8.0,1.0177,1.0,162.0,0.4779,48.0,0.1416,0.12,2.7198,0.8584,
15-per-hour-seattle,Traditional,SeqPhragmen,10.0,34.5,8.0,55.0,2.0682,31.0,8.0,1.0177,1.0,162.0,0.4779,48.0,0.1416,0.12,2.7198,0.8584,
15-per-hour-seattle,Traditional,MES,10.0,34.9,8.0,55.0,1.9773,31.0,8.0,1.0295,1.0,157.0,0.4631,48.0,0.1416,0.1505,2.7198,0.8407,
15-per-hour-seattle,AV,AV,10.0,36.8,18.0,55.0,1.5455,29.0,18.0,1.0855,1.0,158.0,0.4661,46.0,0.1357,0.1247,2.7198,0.8201,
15-per-hour-seattle,Tax,TaxPhragmen,2.0,54.5,54.0,55.0,6.2885,42.0,45.0,0.3215,0.0,233.0,0.6873,29.0,0.0855,0.1875,2.7198,0.1475,
15-per-hour-seattle,Tax,TaxMES,2.0,54.5,54.0,55.0,6.2885,42.0,45.0,0.3215,0.0,233.0,0.6873,29.0,0.0855,0.1875,2.7198,0.1475,
15-per-hour-seattle,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,0.0
15-per-hour-seattle,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,2.0
15-per-hour-seattle,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,2.0
15-per-hour-seattle,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,2.0
15-per-hour-seattle,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,2.0
15-per-hour-seattle,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,4.0
15-per-hour-seattle,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,0.0
15-per-hour-seattle,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,8.0
15-per-hour-seattle,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,8.0
american-assembly.bowling-green,Traditional,PAV,10.0,481.8,188.0,636.0,74.816,580.0,64.0,2.3722,1.0,798.0,0.3929,171.0,0.0842,0.18,19.0286,0.7661,
american-assembly.bowling-green,Traditional,SeqPhragmen,10.0,481.8,188.0,636.0,74.816,580.0,64.0,2.3722,1.0,798.0,0.3929,171.0,0.0842,0.18,19.0286,0.7661,
american-assembly.bowling-green,Traditional,MES,10.0,481.8,188.0,636.0,74.816,580.0,64.0,2.3722,1.0,798.0,0.3929,171.0,0.0842,0.18,19.0286,0.7661,
american-assembly.bowling-green,AV,AV,10.0,528.3,379.0,636.0,74.2912,554.0,66.0,2.6012,2.0,766.0,0.3772,122.0,0.0601,0.1796,19.0286,0.5608,
american-assembly.bowling-green,Tax,TaxPhragmen,4.0,607.0,580.0,636.0,76.9922,580.0,64.0,1.1955,1.0,950.0,0.4677,41.0,0.0202,0.1498,19.0286,0.1029,
american-assembly.bowling-green,Tax,TaxMES,4.0,586.0,496.0,636.0,77.0863,580.0,64.0,1.1541,1.0,938.0,0.4618,70.0,0.0345,0.151,19.0286,0.1728,
american-assembly.bowling-green,Hamming_traditional,PAV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,0.0
american-assembly.bowling-green,Hamming_traditional,PAV_vs_MES,,,,,,,,,,,,,,,,,0.0
american-assembly.bowling-green,Hamming_traditional,SeqPhragmen_vs_MES,,,,,,,,,,,,,,,,,0.0
american-assembly.bowling-green,Hamming_traditional,AV_vs_PAV,,,,,,,,,,,,,,,,,4.0
american-assembly.bowling-green,Hamming_traditional,AV_vs_SeqPhragmen,,,,,,,,,,,,,,,,,4.0
american-assembly.bowling-green,Hamming_traditional,AV_vs_MES,,,,,,,,,,,,,,,,,4.0
american-assembly.bowling-green,Cross-Hamming,PAV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,PAV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,SeqPhragmen_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,SeqPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,MES_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,MES_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,TaxPhragmen_vs_TaxMES,,,,,,,,,,,,,,,,,2.0
american-assembly.bowling-green,Cross-Hamming,AV_vs_TaxMES,,,,,,,,,,,,,,,,,6.0
american-assembly.bowling-green,Cross-Hamming,AV_vs_TaxPhragmen,,,,,,,,,,,,,,,,,6.0
austria-climate.2vkxcncppn.2022-07-07,Traditional,PAV,10.0,543.4,431.0,604.0,42.3353,584.0,46.0,3.0945,3.0,525.0,0.299,199.0,0.1133,0.1677,13.3274,0.8702,
austria-climate.2vkxcncppn.2022-07-07,Traditional,SeqPhragmen,10.0,546.1,431.0,604.0,42.309,584.0,46.0,3.1099,3.0,520.0,0.2961,195.0,0.111,0.1708,13.3274,0.8702,
austria-climate.2vkxcncppn.2022-07-07,Traditional,MES,10.0,543.4,431.0,604.0,42.3353,584.0,46.0,3.0945,3.0,525.0,0.299,199.0,0.1133,0.1677,13.3274,0.8702,
