dataset,p_disapprove,method,rule,committee_size,model,num_voters,num_candidates,elected_mean_net_score,elected_min_net_score,elected_max_net_score,non_elected_mean_net_score,best_non_elected_score,best_non_elected_candidate,mean_utility,median_utility,n_zero_or_negative,frac_zero_or_negative,n_negative,frac_negative,gini_coefficient,avg_disapprovals_per_voter,avg_elected_disapprovals_per_voter,hamming_distance,p,phi
euclidean_r1.5,0.01,Traditional,PAV,10.0,Euclidean2D,100,20,12.5,7.0,17.0,7.0,11.0,14.0,1.25,1.0,17.0,0.17,0.0,0.0,0.3697,0.16,0.06,,,
euclidean_r1.5,0.01,Traditional,SeqPhragmen,10.0,Euclidean2D,100,20,12.2,7.0,17.0,7.3,11.0,14.0,1.22,1.0,17.0,0.17,0.0,0.0,0.3682,0.16,0.08,,,
euclidean_r1.5,0.01,Traditional,MES,10.0,Euclidean2D,100,20,12.2,7.0,17.0,7.3,11.0,14.0,1.22,1.0,17.0,0.17,0.0,0.0,0.3682,0.16,0.08,,,
euclidean_r1.5,0.01,AV,AV,10.0,Euclidean2D,100,20,13.0,9.0,17.0,6.5,9.0,0.0,1.3,1.0,22.0,0.22,2.0,0.02,0.2494,0.16,0.04,,,
euclidean_r1.5,0.01,Tax,TaxPhragmen,5.0,Euclidean2D,100,20,15.2,11.0,17.0,7.9333,13.0,11.0,0.76,1.0,40.0,0.4,0.0,0.0,0.5061,0.16,0.0,,,
euclidean_r1.5,0.01,Tax,TaxMES,4.0,Euclidean2D,100,20,15.0,11.0,17.0,8.4375,16.0,17.0,0.6,1.0,48.0,0.48,0.0,0.0,0.541,0.16,0.0,,,
euclidean_r1.5,0.01,Hamming_Traditional,PAV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r1.5,0.01,Hamming_Traditional,PAV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r1.5,0.01,Hamming_Traditional,SeqPhragmen_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,0.0,,
euclidean_r1.5,0.01,Hamming_Traditional,AV_vs_PAV,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
euclidean_r1.5,0.01,Hamming_Traditional,AV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,6.0,,
euclidean_r1.5,0.01,Hamming_Traditional,AV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,6.0,,
euclidean_r1.5,0.01,Cross_Hamming,PAV_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,8.0,,
euclidean_r1.5,0.01,Cross_Hamming,PAV_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,7.0,,
euclidean_r1.5,0.01,Cross_Hamming,SeqPhragmen_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,7.0,,
euclidean_r1.5,0.01,Cross_Hamming,SeqPhragmen_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,8.0,,
euclidean_r1.5,0.01,Cross_Hamming,MES_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,8.0,,
euclidean_r1.5,0.01,Cross_Hamming,MES_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,7.0,,
euclidean_r1.5,0.01,Cross_Hamming,TaxPhragmen_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,1.0,,
euclidean_r1.5,0.01,Cross_Hamming,AV_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,6.0,,
euclidean_r1.5,0.01,Cross_Hamming,AV_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,5.0,,
euclidean_r2,0.01,Traditional,PAV,10.0,Euclidean2D,100,20,19.7,14.0,27.0,12.8,16.0,5.0,1.97,2.0,14.0,0.14,3.0,0.03,0.2222,0.16,0.1,,,
euclidean_r2,0.01,Traditional,SeqPhragmen,10.0,Euclidean2D,100,20,19.7,14.0,27.0,12.8,16.0,5.0,1.97,2.0,14.0,0.14,3.0,0.03,0.2222,0.16,0.1,,,
euclidean_r2,0.01,Traditional,MES,10.0,Euclidean2D,100,20,19.7,14.0,27.0,12.8,16.0,5.0,1.97,2.0,14.0,0.14,3.0,0.03,0.2222,0.16,0.1,,,
euclidean_r2,0.01,AV,AV,10.0,Euclidean2D,100,20,19.7,14.0,27.0,12.8,16.0,5.0,1.97,2.0,17.0,0.17,4.0,0.04,0.2382,0.16,0.11,,,
euclidean_r2,0.01,Tax,TaxPhragmen,5.0,Euclidean2D,100,20,20.6,18.0,27.0,14.8,21.0,19.0,1.03,1.0,26.0,0.26,1.0,0.01,0.2255,0.16,0.03,,,
euclidean_r2,0.01,Tax,TaxMES,6.0,Euclidean2D,100,20,20.8333,18.0,27.0,14.2857,20.0,1.0,1.25,1.0,25.0,0.25,1.0,0.01,0.251,0.16,0.02,,,
euclidean_r2,0.01,Hamming_Traditional,PAV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,0.0,,
euclidean_r2,0.01,Hamming_Traditional,PAV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,0.0,,
euclidean_r2,0.01,Hamming_Traditional,SeqPhragmen_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,0.0,,
euclidean_r2,0.01,Hamming_Traditional,AV_vs_PAV,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r2,0.01,Hamming_Traditional,AV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r2,0.01,Hamming_Traditional,AV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r2,0.01,Cross_Hamming,PAV_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
euclidean_r2,0.01,Cross_Hamming,PAV_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,5.0,,
euclidean_r2,0.01,Cross_Hamming,SeqPhragmen_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,5.0,,
euclidean_r2,0.01,Cross_Hamming,SeqPhragmen_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
euclidean_r2,0.01,Cross_Hamming,MES_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
euclidean_r2,0.01,Cross_Hamming,MES_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,5.0,,
euclidean_r2,0.01,Cross_Hamming,TaxPhragmen_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,3.0,,
euclidean_r2,0.01,Cross_Hamming,AV_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
euclidean_r2,0.01,Cross_Hamming,AV_vs_TaxPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,5.0,,
euclidean_r3,0.01,Traditional,PAV,10.0,Euclidean2D,100,20,37.2,30.0,52.0,23.2,33.0,3.0,3.72,3.0,8.0,0.08,1.0,0.01,0.3277,0.15,0.05,,,
euclidean_r3,0.01,Traditional,SeqPhragmen,10.0,Euclidean2D,100,20,37.2,30.0,52.0,23.2,33.0,3.0,3.72,3.0,8.0,0.08,1.0,0.01,0.3277,0.15,0.05,,,
euclidean_r3,0.01,Traditional,MES,10.0,Euclidean2D,100,20,37.4,30.0,52.0,23.0,31.0,0.0,3.74,3.0,10.0,0.1,1.0,0.01,0.3323,0.15,0.06,,,
euclidean_r3,0.01,AV,AV,10.0,Euclidean2D,100,20,37.5,31.0,52.0,22.9,30.0,1.0,3.75,3.5,11.0,0.11,0.0,0.0,0.4293,0.15,0.06,,,
euclidean_r3,0.01,Tax,TaxPhragmen,7.0,Euclidean2D,100,20,39.0,30.0,52.0,25.4615,34.0,7.0,2.73,2.5,11.0,0.11,1.0,0.01,0.3068,0.15,0.03,,,
euclidean_r3,0.01,Tax,TaxMES,6.0,Euclidean2D,100,20,40.6667,32.0,52.0,25.7143,34.0,7.0,2.44,2.0,14.0,0.14,2.0,0.02,0.3098,0.15,0.05,,,
euclidean_r3,0.01,Hamming_Traditional,PAV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,0.0,,
euclidean_r3,0.01,Hamming_Traditional,PAV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r3,0.01,Hamming_Traditional,SeqPhragmen_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r3,0.01,Hamming_Traditional,AV_vs_PAV,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r3,0.01,Hamming_Traditional,AV_vs_SeqPhragmen,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r3,0.01,Hamming_Traditional,AV_vs_MES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,2.0,,
euclidean_r3,0.01,Cross_Hamming,PAV_vs_TaxMES,,Euclidean2D,100,20,,,,,,,,,,,,,,,,4.0,,
